,date,temperature_2m,apparent_temperature,snowfall,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snow_depth,weather_code,pressure_msl,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,temperature_180m,temperature_120m,temperature_80m,wind_gusts_10m,wind_direction_180m,vapour_pressure_deficit,et0_fao_evapotranspiration,evapotranspiration,surface_pressure,wind_direction_120m,wind_direction_80m,wind_direction_10m,wind_speed_180m,wind_speed_120m,wind_speed_80m,wind_speed_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
13,2023-01-01 13:00:00+00:00,12.3575,8.09472,0.0,55.0,3.5673058,,0.0,0.0,0.0,0.0,0.0,1013.7,6.0,6.0,0.0,0.0,35800.0,8.6465,9.729,9.929,33.839996,292.751,0.6471478,0.21847479,0.0,1007.53644,309.0194,290.3533,287.74475,24.20314,27.430801,23.806318,18.899143,12.8965,11.8965,7.5965,5.3465,0.322,0.324,0.329,0.338,0.343
14,2023-01-01 14:00:00+00:00,12.557501,8.175384,0.0,47.0,1.5388474,,0.0,0.0,0.0,0.0,0.0,1013.4,0.0,0.0,0.0,0.0,43200.0,9.1465,10.179,10.379001,25.199999,287.3006,0.772274,0.21188186,0.0,1007.24243,303.45334,290.05618,289.5732,23.000591,24.662743,24.144167,17.193533,12.7465,12.3965,7.8964996,5.3465,0.322,0.323,0.328,0.337,0.343
15,2023-01-01 15:00:00+00:00,12.307501,8.051263,0.0,44.0,0.39401615,,0.0,0.0,0.0,0.0,0.0,1013.7,0.0,0.0,0.0,0.0,46500.0,9.5465,10.579,10.779,22.68,283.78162,0.802719,0.16830294,0.0,1007.5353,297.55273,290.3232,291.03757,19.64558,19.064768,20.730501,15.042659,11.5965,12.3965,8.1465,5.3965,0.321,0.323,0.327,0.337,0.343
16,2023-01-01 16:00:00+00:00,11.907499,8.732848,0.0,45.0,0.34080327,,0.0,0.0,0.0,0.0,0.0,1014.2,0.0,0.0,0.0,0.0,45000.0,9.6465,10.579,10.679,20.519999,280.954,0.7679153,0.08144334,0.0,1008.0236,288.03436,295.90643,295.34613,22.734219,16.61654,14.007655,7.5685663,9.5965,11.7465,8.3965,5.4465,0.32,0.322,0.326,0.336,0.343
17,2023-01-01 17:00:00+00:00,9.9575,6.9073563,0.0,47.0,-0.8428611,,0.0,0.0,0.0,0.0,0.0,1014.6,0.0,0.0,0.0,0.0,42300.0,9.7465,10.129001,10.179,11.879999,284.69736,0.65013653,0.047340028,-0.0,1008.3787,282.9074,308.92755,336.8014,22.702845,18.094635,12.031756,5.4833565,7.5465,10.4965,8.4965,5.4965,0.32,0.322,0.326,0.336,0.343
18,2023-01-01 18:00:00+00:00,8.657499,5.9648743,0.0,52.0,-0.655835,,0.0,0.0,0.0,0.0,0.0,1015.0,16.0,16.0,0.0,0.0,38100.0,9.4465,9.579,9.579,3.2399998,272.20255,0.53951126,0.006204194,-0.0,1008.74786,280.88547,308.65982,153.43501,18.733839,19.457315,4.6102495,3.219938,6.5465,9.2465,8.5465,5.5465,0.32,0.321,0.325,0.335,0.343
19,2023-01-01 19:00:00+00:00,7.9575,4.9897137,0.0,58.0,0.19385603,,0.0,0.0,0.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,33100.0,9.3465,9.279,9.279,9.36,257.15228,0.45019627,0.016338322,0.0,1009.72614,271.1691,242.7005,237.26477,21.046917,18.008621,12.55879,5.991594,5.6965,8.0965,8.4465,5.5465,0.31,0.311,0.316,0.333,0.342
20,2023-01-01 20:00:00+00:00,7.7075,4.574086,0.0,58.0,-0.04092465,,0.0,0.0,0.0,0.0,0.0,1016.5,0.0,0.0,0.0,0.0,31900.0,9.1465,8.829,8.729,10.08,260.42584,0.44260114,0.019963592,-0.0,1010.2174,263.41815,240.06857,227.12111,30.302078,19.233982,13.70839,6.8777895,5.2465,7.2965,8.2965,5.5965,0.311,0.312,0.316,0.332,0.342
21,2023-01-01 21:00:00+00:00,6.6075,4.18443,0.0,66.0,0.7049049,,0.0,0.0,0.0,0.0,0.0,1016.8,6.0,6.0,0.0,0.0,27100.0,9.2465,8.629001,8.579,10.440001,267.9048,0.3323207,0.0,0.0,1010.4908,274.57382,255.96373,230.19447,29.539747,18.431015,17.811815,2.8116899,5.2965,6.7465,8.1465,5.6465,0.312,0.313,0.317,0.331,0.342
22,2023-01-01 22:00:00+00:00,7.2075,5.1289005,0.0,71.0,2.2986789,,0.0,0.0,0.0,0.0,3.0,1017.1,100.0,100.0,0.0,4.0,24200.0,9.2465,8.629001,8.529,7.5599995,270.0,0.29535526,0.0,0.0,1010.80255,263.92764,255.2564,231.34016,28.08,17.367428,14.145756,2.3051248,5.8965,6.5965,7.9965,5.6965,0.312,0.313,0.317,0.33,0.342
23,2023-01-01 23:00:00+00:00,7.8574996,5.167307,0.0,65.0,1.6827092,,0.0,0.0,0.0,0.0,1.0,1017.1,25.0,25.0,0.0,0.0,28000.0,9.1465,8.379001,8.279,11.879999,267.33704,0.3726235,0.009926992,0.0,1010.81714,261.08514,251.1752,270.0,30.993471,18.968916,16.73516,5.7599998,5.8965,6.7465,7.7965,5.6965,0.312,0.314,0.317,0.33,0.342
24,2023-01-02 00:00:00+00:00,6.9575,4.3986845,0.0,69.0,1.6583258,,0.0,0.0,0.0,0.0,0.0,1017.1,0.0,0.0,0.0,0.0,25600.0,9.0465,8.179,8.079,8.64,272.6324,0.3103662,0.0034007,0.0,1010.7968,260.9098,226.27295,206.56499,31.353085,18.605997,11.457958,4.829907,5.1965,6.5965,7.6965,5.7465,0.313,0.314,0.317,0.329,0.342
25,2023-01-02 01:00:00+00:00,6.5575,3.8576488,0.0,69.0,1.2750903,,0.0,0.0,0.0,0.0,0.0,1016.9,1.0,1.0,0.0,0.0,25200.0,9.4465,8.679,8.679,16.56,272.29056,0.30195993,0.0050752326,0.0,1010.58923,244.59233,234.21094,199.65392,27.021591,16.271694,19.083395,5.3517847,5.9465,6.7465,7.5465,5.7965,0.313,0.314,0.318,0.329,0.342
26,2023-01-02 02:00:00+00:00,6.2075,3.6180873,0.0,69.0,0.9397383,,0.0,0.0,0.0,0.0,0.0,1017.3,0.0,0.0,0.0,0.0,25400.0,9.6465,8.829,8.779,7.92,266.906,0.29476953,0.0010886082,0.0,1010.9788,253.41258,252.18102,250.0168,26.67889,18.019861,10.587917,4.2136917,5.5465,6.5465,7.4465,5.7965,0.313,0.314,0.318,0.328,0.342
27,2023-01-02 03:00:00+00:00,5.9075,2.7759504,0.0,65.0,-0.1728444,,0.0,0.0,0.0,0.0,0.0,1018.1,0.0,0.0,0.0,0.0,27600.0,9.5465,8.679,8.629001,11.159999,275.50537,0.32597858,0.012318225,0.0,1011.7672,281.59213,218.15727,195.52417,30.018473,14.628797,12.819235,6.725354,4.9465,6.2965,7.2965,5.8465,0.313,0.314,0.318,0.328,0.343
28,2023-01-02 04:00:00+00:00,5.5575,3.3039823,0.0,74.0,1.2879596,,0.0,0.0,0.0,0.0,0.0,1018.1,0.0,0.0,0.0,0.0,22600.0,9.5465,8.579,8.529,9.0,287.0491,0.23636359,0.0,0.0,1011.7592,298.88647,234.24602,231.34016,28.241077,12.170188,11.090103,2.3051248,4.5465,5.8965,7.1965,5.8965,0.313,0.314,0.318,0.328,0.343
29,2023-01-02 05:00:00+00:00,5.2075,3.021007,0.0,78.0,1.6836864,,0.0,0.0,0.0,0.0,0.0,1018.5,6.0,0.0,5.0,6.0,20100.0,9.3465,8.379001,8.329,7.5599995,294.5074,0.19520038,0.0,0.0,1012.1488,291.80148,259.046,218.65984,26.903828,13.851315,11.367109,2.3051248,4.3465,5.5465,7.0465,5.8965,0.313,0.314,0.318,0.327,0.343
30,2023-01-02 06:00:00+00:00,5.1075,2.4849224,0.0,80.0,1.9407108,,0.0,0.0,0.0,0.0,2.0,1018.8,68.0,0.0,68.0,0.0,17900.0,9.1465,8.229,8.179,6.4799995,304.7961,0.17622548,0.0,-0.0,1012.4444,305.36255,228.36655,224.9999,25.864943,13.967795,8.669949,5.6002855,4.0965,5.2465,6.8965,5.9465,0.313,0.314,0.318,0.327,0.343
31,2023-01-02 07:00:00+00:00,5.7075,2.900229,0.0,77.0,1.9885901,,0.0,0.0,0.0,0.0,3.0,1019.5,98.0,0.0,98.0,0.0,17400.0,8.6465,8.179,8.179,6.8399997,301.1224,0.21127582,0.0033179156,-0.0,1013.15375,304.50858,212.00534,242.10283,22.288042,14.269035,6.792466,6.9247384,4.1965,4.8965,6.6965,5.9465,0.313,0.314,0.318,0.327,0.343
32,2023-01-02 08:00:00+00:00,6.7075,3.9605036,0.0,75.0,2.5876226,,0.0,0.0,0.0,0.0,3.0,1020.3,98.0,0.0,98.0,3.0,21700.0,8.4465,8.129001,8.129001,7.92,306.25394,0.24604017,0.021048548,0.0,1013.9714,304.7779,235.6196,243.43501,20.08916,16.104883,8.287822,7.24486,4.6465,4.7965,6.5465,5.9465,0.313,0.314,0.317,0.327,0.343
33,2023-01-02 09:00:00+00:00,7.2075,5.106763,0.0,79.0,3.8081694,,0.0,0.0,0.0,0.0,3.0,1020.8,98.0,0.0,98.0,92.0,19900.0,8.2465,8.029,8.029,5.3999996,310.8553,0.21387726,0.040067982,0.0,1014.4797,306.86996,221.18582,235.0079,17.610588,12.860622,7.653705,4.39436,6.0465,5.1465,6.3965,5.9965,0.313,0.314,0.317,0.326,0.343
34,2023-01-02 10:00:00+00:00,8.2575,6.370616,0.0,77.0,4.4625335,,0.0,0.0,0.0,0.0,3.0,1021.0,98.0,0.0,98.0,97.0,21100.0,8.0465,8.079,8.129001,6.12,303.11136,0.25160843,0.08739929,0.0,1014.702,272.6025,208.07239,221.18582,9.885262,8.092167,6.12,3.8268526,8.1965,6.1465,6.2965,5.9965,0.313,0.314,0.317,0.326,0.343
35,2023-01-02 11:00:00+00:00,9.907499,7.9114676,0.0,70.0,4.6898556,,0.0,0.0,0.0,0.0,3.0,1020.7,98.0,0.0,98.0,4.0,24500.0,8.0465,8.529,8.679,7.2,255.96373,0.36676675,0.15785721,0.0,1014.44037,246.50142,217.56866,216.02747,4.452954,9.2155075,5.904439,4.8965297,9.7465,7.4465,6.3465,5.9965,0.313,0.314,0.317,0.326,0.343
36,2023-01-02 12:00:00+00:00,11.657499,9.680898,0.0,61.0,4.385568,,0.0,0.0,0.0,0.0,2.0,1019.8,77.0,5.0,77.0,62.0,30300.0,8.1465,9.279,9.429,15.4800005,223.83095,0.53560305,0.18997253,0.0,1013.5841,255.06853,265.60138,274.76355,12.475961,11.408604,4.6938252,4.3349743,11.0465,8.6465,6.4965,6.0465,0.312,0.314,0.317,0.326,0.343
37,2023-01-02 13:00:00+00:00,12.907499,10.919073,0.0,59.0,5.084986,,0.0,0.0,0.0,0.0,2.0,1019.4,54.0,11.0,54.0,0.0,32200.0,8.8465,10.379001,10.529,15.4800005,236.6336,0.6112329,0.2069457,0.0,1013.21356,259.56256,278.13,273.814,17.673029,14.197891,5.0911684,5.4119864,12.0965,10.0465,6.7465,6.0465,0.312,0.313,0.317,0.326,0.343
38,2023-01-02 14:00:00+00:00,12.9575,10.770186,0.0,60.0,5.373867,,0.0,0.0,0.0,0.0,1.0,1019.4,43.0,43.0,14.0,0.0,31000.0,9.3465,11.129001,11.329,15.84,233.13002,0.59827214,0.09194954,0.0,1013.21454,257.125,232.69597,233.13002,14.4,13.192297,9.504272,7.2,12.4465,10.9965,6.9965,6.0965,0.311,0.313,0.316,0.325,0.343
39,2023-01-02 15:00:00+00:00,13.057501,10.611388,0.0,60.0,5.46803,,0.0,0.0,0.0,0.0,1.0,1019.7,22.0,0.0,22.0,0.0,31200.0,9.8465,11.829,12.029,19.8,232.81522,0.60219026,0.1350594,0.0,1013.51495,252.75845,191.30989,189.0902,13.104198,11.157308,11.013882,9.114471,11.3965,11.3465,7.2965,6.0965,0.311,0.313,0.316,0.325,0.343
40,2023-01-02 16:00:00+00:00,12.3575,9.917043,0.0,59.0,4.5680585,,0.0,0.0,0.0,0.0,0.0,1019.9,0.0,0.0,0.0,0.0,32200.0,10.3465,12.179,12.229,13.32,234.78232,0.58961487,0.07154385,0.0,1013.6987,247.01126,181.9091,166.60748,14.982228,13.171811,10.805999,7.771331,9.9465,10.9965,7.5465,6.0965,0.311,0.313,0.316,0.325,0.343
41,2023-01-02 17:00:00+00:00,11.0075,8.931536,0.0,63.0,4.2317433,,0.0,0.0,0.0,0.0,1.0,1020.0,42.0,0.0,42.0,0.0,28400.0,10.6465,12.079,12.079,14.04,227.81563,0.4867466,0.03391839,0.0,1013.76855,251.56496,218.991,192.99461,15.546833,11.619674,9.726664,4.802999,8.4965,10.1965,7.7465,6.1465,0.311,0.313,0.316,0.325,0.343
42,2023-01-02 18:00:00+00:00,10.9575,8.798324,0.0,70.0,5.6968994,,0.0,0.0,0.0,0.0,3.0,1020.3,100.0,100.0,13.0,0.0,24300.0,10.8465,11.629001,11.629001,11.879999,230.7928,0.39334297,0.013590394,0.0,1014.0658,231.34016,227.29063,215.21768,17.654688,11.764024,12.738099,7.491114,7.9965,9.3465,7.8465004,6.1965,0.311,0.313,0.316,0.325,0.343
43,2023-01-02 19:00:00+00:00,11.7575,9.550228,0.0,68.0,6.0434957,,0.0,0.0,0.0,0.0,3.0,1020.6,100.0,100.0,29.0,0.0,26100.0,11.3465,11.079,11.079,12.599999,234.60512,0.44236445,0.019345645,0.0,1014.3815,220.76352,219.17365,187.43132,16.78156,14.068927,12.538134,8.350138,7.8465004,8.8965,7.8964996,6.1965,0.302,0.303,0.306,0.323,0.342
44,2023-01-02 20:00:00+00:00,11.407499,9.507336,0.0,67.0,5.495187,,0.0,0.0,0.0,0.0,3.0,1021.0,100.0,100.0,0.0,7.0,26300.0,11.3465,10.879001,10.879001,13.32,223.26433,0.44577098,0.008668163,0.0,1014.77136,241.50446,217.11694,183.814,16.80857,14.6334095,16.704155,5.4119864,7.7465,8.5465,7.9465,6.2465,0.303,0.304,0.307,0.323,0.342
45,2023-01-02 21:00:00+00:00,11.1075,8.789913,0.0,76.0,7.0356407,,0.0,0.0,0.0,0.0,3.0,1021.2,100.0,100.0,0.0,51.0,21000.0,11.2465,10.929,10.929,17.64,231.14662,0.317811,0.016009333,0.0,1014.96344,236.68936,231.91118,237.38077,16.641972,15.388943,16.92383,10.685391,7.6965,8.2965,7.8964996,6.2465,0.304,0.305,0.308,0.322,0.342
46,2023-01-02 22:00:00+00:00,10.657499,9.555167,0.0,88.0,8.751186,,0.0,0.0,0.0,0.0,3.0,1021.1,100.0,100.0,0.0,56.0,15200.0,11.2465,10.779,10.779,7.2,221.30852,0.15422034,0.0,0.0,1014.8541,223.87679,203.9625,151.69934,15.815435,13.253561,7.0911775,5.315336,7.7465,8.2465,7.8964996,6.2965,0.304,0.305,0.308,0.322,0.342
47,2023-01-02 23:00:00+00:00,10.907499,10.417372,0.0,90.0,9.331141,,0.0,0.0,0.0,0.0,3.0,1020.9,100.0,100.0,0.0,97.0,14800.0,11.2465,10.479,10.529,5.04,215.83774,0.13066709,0.0,-0.0,1014.6612,216.15828,195.94547,189.46225,15.986593,11.8326845,5.2416787,2.1897945,7.7465,8.1965,7.8964996,6.2965,0.305,0.306,0.309,0.321,0.342
