,date,temperature_2m,apparent_temperature,snowfall,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snow_depth,weather_code,pressure_msl,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,temperature_180m,temperature_120m,temperature_80m,wind_gusts_10m,wind_direction_180m,vapour_pressure_deficit,et0_fao_evapotranspiration,evapotranspiration,surface_pressure,wind_direction_120m,wind_direction_80m,wind_direction_10m,wind_speed_180m,wind_speed_120m,wind_speed_80m,wind_speed_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
0,2025-01-01 00:00:00+00:00,7.1075,4.787306,0.0,91.0,5.7373734,58.0,0.0,0.0,0.0,0.0,3.0,998.8,100.0,100.0,99.0,96.0,13300.0,7.1465,8.629001,8.729,16.919998,101.91512,0.09103519,0.0,0.0,992.6138,104.23732,68.428635,44.999897,40.10406,25.399021,16.645864,8.654987,7.6965,7.7965,7.9965,6.9965,0.345,0.354,0.365,0.322,0.334
1,2025-01-01 01:00:00+00:00,7.1575,4.84171,0.0,89.0,5.4660273,8.0,0.0,0.0,0.0,0.0,3.0,998.1,100.0,100.0,99.0,0.0,13300.0,7.6465,8.379001,8.479,20.519999,121.35703,0.11164695,0.0,0.01,991.9189,105.59287,82.99883,61.189304,26.980793,16.40392,20.674158,8.217153,7.2465,7.4965,7.8964996,6.9965,0.339,0.344,0.353,0.332,0.334
2,2025-01-01 02:00:00+00:00,7.2575,5.776147,0.0,98.0,6.962376,2.0,0.0,0.0,0.0,0.0,3.0,998.2,100.0,100.0,0.0,0.0,12200.0,8.0465,8.229,8.279,7.92,202.1664,0.020438194,0.0,-0.0,992.02057,158.96242,119.05451,26.564985,10.495713,5.117935,7.4128532,4.829907,6.9965,7.4965,7.8465004,7.0465,0.327,0.334,0.343,0.334,0.334
3,2025-01-01 03:00:00+00:00,7.2575,5.9096727,0.0,97.0,6.812815,1.0,0.0,0.0,0.0,0.0,3.0,998.6,100.0,100.0,0.0,0.0,12200.0,6.9465,7.679,7.7289996,13.679999,264.40076,0.03065747,0.0,-0.0,992.418,278.42688,184.63538,168.69011,18.448023,10.029334,13.363711,3.671294,6.7465,7.3465,7.7965,7.0465,0.321,0.327,0.336,0.335,0.335
4,2025-01-01 04:00:00+00:00,7.5575,5.382169,0.0,96.0,6.9604588,1.0,0.0,0.0,0.0,0.0,3.0,998.2,100.0,100.0,0.0,0.0,12200.0,6.0465,6.7289996,6.829,24.119999,279.46225,0.041722357,0.0,0.0,992.02716,292.30624,235.17543,235.71307,24.087738,15.489511,20.172853,9.585739,6.6965,7.1965,7.7465,7.0965,0.317,0.322,0.331,0.335,0.335
5,2025-01-01 05:00:00+00:00,7.6075,5.3235226,0.0,95.0,6.857469,0.0,0.0,0.0,0.0,0.0,3.0,998.5,100.0,100.0,0.0,0.0,12300.0,5.7465,6.329,6.429,25.56,279.11777,0.05233115,0.0,-0.0,992.3264,280.08054,250.61539,247.06787,29.533169,16.79435,20.60823,10.163227,6.3965,6.9965,7.6965,7.0965,0.313,0.319,0.327,0.335,0.335
6,2025-01-01 06:00:00+00:00,7.7075,5.1080046,0.0,91.0,6.33081,0.0,0.0,0.0,0.0,0.0,3.0,998.7,100.0,100.0,0.0,0.0,13600.0,6.1465,6.329,6.429,33.839996,274.66678,0.09484106,0.0,-0.0,992.52747,256.21838,249.70235,237.80429,35.397354,20.051937,28.019936,11.4862,6.2965,6.8465,7.6465,7.0965,0.311,0.316,0.324,0.334,0.335
7,2025-01-01 07:00:00+00:00,8.157499,5.2086535,0.0,90.0,6.6149945,5.0,0.0,0.0,0.0,0.0,3.0,999.1,100.0,100.0,0.0,0.0,14700.0,6.5465,6.529,6.6289997,25.199999,270.0,0.108652115,0.0010817024,0.0,992.9348,254.57777,246.9911,244.7223,37.44,22.107939,28.551426,14.33234,6.2965,6.9465,7.6465,7.1465,0.309,0.313,0.321,0.333,0.335
8,2025-01-01 08:00:00+00:00,8.0075,5.211315,0.0,90.0,6.4668307,1.0,0.0,0.0,0.0,0.0,3.0,998.9,100.0,100.0,0.0,0.0,14900.0,6.2465,6.579,6.679,36.719997,267.99048,0.10755122,0.018910244,0.0,992.7327,257.19574,248.7907,245.55606,41.065254,24.869902,25.872454,13.049689,6.6465,6.8465,7.5465,7.1465,0.307,0.311,0.319,0.332,0.335
9,2025-01-01 09:00:00+00:00,8.2575,4.941305,0.0,88.0,6.3869514,1.0,0.0,0.0,0.0,0.0,3.0,999.5,100.0,100.0,0.0,0.0,15500.0,6.2465,6.929,7.079,34.92,266.0549,0.13127053,0.04120559,0.0,993.3346,256.67545,239.17241,233.88057,41.85919,28.698479,25.992397,16.489416,8.3965,7.1965,7.4965,7.1465,0.305,0.309,0.318,0.332,0.335
